price,area,bedRoom,bathroom,balcony,floorNum,log_price,others,pooja room,servant room,store room,study room,Environment,Lifestyle,Connectivity,Safety,Wardrobe,Fan,Exhaust Fan,Geyser,Light,Modular Kitchen,AC,Chimney,Bed,Curtains,Dining Table,Microwave,Fridge,Sofa,Stove,TV,Washing Machine,Water Purifier,facing_East,facing_North,facing_North-East,facing_North-West,facing_South,facing_South-East,facing_South-West,facing_West,agePossession_0 to 1 Year Old,agePossession_1 to 5 Year Old,agePossession_10+ Year Old,agePossession_5 to 10 Year Old,agePossession_By 2024,agePossession_By 2027,agePossession_Dec 2023,agePossession_Dec 2024,agePossession_Jan 2024,agePossession_Jun 2024,agePossession_Oct 2023,agePossession_Oct 2024,agePossession_Under Construction,agePossession_Within 3 months,agePossession_Within 6 months
8.4,4000.0,4,5,4,2.0,2.2407096892759584,0,1,1,0,1,4,4,5,4,5,6,1,4,19,1,5,1,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.55,1449.0,4,4,4,2.0,1.5151272329628591,0,0,0,0,0,4,4,5,4,6,9,0,6,17,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2.5,3542.0,4,4,4,3.0,1.252762968495368,0,1,1,1,1,0,0,0,0,7,9,1,3,14,1,2,1,2,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2.5,3542.0,4,4,4,3.0,1.252762968495368,0,1,1,1,1,0,0,0,0,7,12,1,3,15,1,2,1,2,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
9.0,8000.0,5,5,4,3.0,2.302585092994046,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2.1,900.0,3,3,2,3.0,1.1314021114911006,1,0,0,0,0,4,4,4,4,5,6,1,7,14,1,0,1,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.5,2250.0,5,5,1,1.0,1.7047480922384253,0,0,0,0,0,4,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6.5,1836.0,5,4,4,3.0,2.0149030205422647,0,1,1,0,0,4,4,4,4,4,10,0,5,26,0,5,1,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
9.5,2367.0,12,12,4,4.0,2.3513752571634776,0,0,0,1,0,4,4,4,4,5,0,1,5,0,1,0,1,0,0,0,1,0,0,1,0,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.0,3078.0,4,4,2,2.0,1.791759469228055,0,0,0,0,0,4,5,5,4,4,6,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
5.5,2546.0,4,4,4,2.0,1.8718021769015913,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.65,5400.0,4,4,4,2.0,1.8946168546677629,1,0,1,0,0,0,0,0,0,0,0,1,5,0,0,8,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.8,2115.0,4,4,4,3.0,2.2823823856765264,0,1,1,1,0,3,4,4,4,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3.25,2250.0,3,3,2,2.0,1.4469189829363254,0,0,0,0,0,5,5,5,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
